datetime,Make,Model,Quantity,Pct
2009-03-01,Volkswagen,Volkswagen Golf,344,4.5
2009-03-01,Ford,Ford Mondeo,301,4.0
2009-03-01,Toyota,Toyota Avensis,281,3.7
2009-03-01,Mazda,Mazda 6,248,3.3
2009-03-01,Skoda,Skoda Octavia,236,3.1
2009-03-01,Toyota,Toyota Auris,225,3.0
2009-03-01,Honda,Honda CR-V,214,2.8
2009-03-01,Nissan,Nissan Qashqai,182,2.4
2009-03-01,Volkswagen,Volkswagen Passat,175,2.3
2009-03-01,Volkswagen,Volkswagen Tiguan,172,2.3
2009-03-01,Peugeot,Peugeot 308,170,2.2
2009-03-01,Audi,Audi A4,160,2.1
2009-03-01,Opel,Opel Insignia,156,2.1
2009-03-01,Mitsubishi,Mitsubishi Outlander,150,2.0
2009-03-01,Hyundai,Hyundai i20,141,1.9
2009-03-01,BMW,BMW 3-serie,132,1.7
2009-03-01,Toyota,Toyota Rav4,130,1.7
2009-03-01,Toyota,Toyota Yaris,123,1.6
2009-03-01,Ford,Ford Focus,115,1.5
2009-03-01,Peugeot,Peugeot 207,108,1.4
2009-03-01,Volvo,Volvo XC60,88,1.2
2009-04-01,Volkswagen,Volkswagen Golf,441,5.9
2009-04-01,Toyota,Toyota Avensis,389,5.2
2009-04-01,Skoda,Skoda Octavia,286,3.8
2009-04-01,Peugeot,Peugeot 308,274,3.7
2009-04-01,Volkswagen,Volkswagen Tiguan,211,2.8
2009-04-01,Volkswagen,Volkswagen Passat,202,2.7
2009-04-01,Ford,Ford Mondeo,201,2.7
2009-04-01,Opel,Opel Insignia,197,2.6
2009-04-01,Toyota,Toyota Auris,196,2.6
2009-04-01,Nissan,Nissan Qashqai,166,2.2
2009-04-01,Volvo,Volvo V70,156,2.1
2009-04-01,Audi,Audi A4,148,2.0
2009-04-01,BMW,BMW 3-serie,133,1.8
2009-04-01,Ford,Ford Focus,132,1.8
2009-04-01,Peugeot,Peugeot 207,128,1.7
2009-04-01,Honda,Honda CR-V,125,1.7
2009-04-01,Toyota,Toyota Yaris,111,1.5
2009-04-01,Mazda,Mazda 6,103,1.4
2009-04-01,Mitsubishi,Mitsubishi Outlander,100,1.3
2009-04-01,Volvo,Volvo XC60,87,1.2
2009-05-01,Volkswagen,Volkswagen Golf,509,6.9
2009-05-01,Toyota,Toyota Avensis,375,5.1
2009-05-01,Opel,Opel Insignia,237,3.2
2009-05-01,Skoda,Skoda Octavia,232,3.1
2009-05-01,Ford,Ford Focus,217,2.9
2009-05-01,Ford,Ford Mondeo,197,2.7
2009-05-01,Volkswagen,Volkswagen Passat,193,2.6
2009-05-01,Volkswagen,Volkswagen Tiguan,172,2.3
2009-05-01,BMW,BMW 3-serie,168,2.3
2009-05-01,Nissan,Nissan Qashqai,162,2.2
2009-05-01,Audi,Audi A4,151,2.0
2009-05-01,Peugeot,Peugeot 308,148,2.0
2009-05-01,Toyota,Toyota Auris,129,1.7
2009-05-01,Toyota,Toyota Yaris,126,1.7
2009-05-01,Toyota,Toyota Corolla,126,1.7
2009-05-01,Honda,Honda CR-V,123,1.7
2009-05-01,Volvo,Volvo XC60,110,1.5
2009-05-01,Peugeot,Peugeot 207,108,1.5
2009-05-01,Volvo,Volvo V70,107,1.4
2009-05-01,Mazda,Mazda 6,54,0.7
2009-06-01,Volkswagen,Volkswagen Golf,412,5.4
2009-06-01,Ford,Ford Mondeo,368,4.9
2009-06-01,Toyota,Toyota Avensis,353,4.7
2009-06-01,Opel,Opel Insignia,281,3.7
2009-06-01,Volkswagen,Volkswagen Passat,233,3.1
2009-06-01,Volvo,Volvo V70,216,2.8
2009-06-01,Nissan,Nissan Qashqai,202,2.7
2009-06-01,Volvo,Volvo V50,191,2.5
2009-06-01,Ford,Ford Focus,190,2.5
2009-06-01,BMW,BMW 3-serie,188,2.5
2009-06-01,Audi,Audi A4,186,2.5
2009-06-01,Skoda,Skoda Octavia,182,2.4
2009-06-01,Hyundai,Hyundai i30,147,1.9
2009-06-01,Volkswagen,Volkswagen Tiguan,141,1.9
2009-06-01,Mazda,Mazda 6,123,1.6
2009-06-01,Peugeot,Peugeot 308,114,1.5
2009-06-01,Honda,Honda CR-V,109,1.4
2009-06-01,Volvo,Volvo XC60,109,1.4
2009-06-01,Toyota,Toyota Yaris,99,1.3
2009-06-01,Toyota,Toyota Auris,96,1.3
2009-07-01,Volkswagen,Volkswagen Golf,482,5.1
2009-07-01,Volkswagen,Volkswagen Passat,448,4.8
2009-07-01,Toyota,Toyota Avensis,443,4.7
2009-07-01,Volvo,Volvo V70,406,4.3
2009-07-01,Ford,Ford Mondeo,339,3.6
2009-07-01,Nissan,Nissan Qashqai,325,3.5
2009-07-01,Toyota,Toyota Auris,288,3.1
2009-07-01,Volvo,Volvo V50,252,2.7
2009-07-01,Audi,Audi A4,246,2.6
2009-07-01,Opel,Opel Insignia,236,2.5
2009-07-01,Volkswagen,Volkswagen Tiguan,205,2.2
2009-07-01,Skoda,Skoda Octavia,195,2.1
2009-07-01,Ford,Ford Focus,195,2.1
2009-07-01,Volvo,Volvo XC60,178,1.9
2009-07-01,Honda,Honda CR-V,173,1.8
2009-07-01,BMW,BMW 3-serie,169,1.8
2009-07-01,Hyundai,Hyundai i30,165,1.8
2009-07-01,Peugeot,Peugeot 308,138,1.5
2009-07-01,Toyota,Toyota Yaris,113,1.2
2009-07-01,Mazda,Mazda 6,89,0.9
2009-08-01,Volkswagen,Volkswagen Golf,453,5.7
2009-08-01,Toyota,Toyota Avensis,343,4.3
2009-08-01,Nissan,Nissan Qashqai,323,4.1
2009-08-01,Volkswagen,Volkswagen Passat,298,3.7
2009-08-01,Audi,Audi A4,224,2.8
2009-08-01,Toyota,Toyota Auris,219,2.7
2009-08-01,BMW,BMW 3-serie,194,2.4
2009-08-01,Volkswagen,Volkswagen Tiguan,190,2.4
2009-08-01,Ford,Ford Mondeo,184,2.3
2009-08-01,Toyota,Toyota Yaris,174,2.2
2009-08-01,Skoda,Skoda Octavia,169,2.1
2009-08-01,Volvo,Volvo V70,169,2.1
2009-08-01,Hyundai,Hyundai i30,165,2.1
2009-08-01,Ford,Ford Focus,154,1.9
2009-08-01,Opel,Opel Insignia,116,1.5
2009-08-01,Peugeot,Peugeot 308,99,1.2
2009-08-01,Honda,Honda CR-V,99,1.2
2009-08-01,Mazda,Mazda 6,90,1.1
2009-08-01,Volvo,Volvo V50,69,0.9
2009-08-01,Volvo,Volvo XC60,58,0.7
2009-09-01,Toyota,Toyota Prius,515,5.4
2009-09-01,Volkswagen,Volkswagen Golf,450,4.7
2009-09-01,Ford,Ford Mondeo,398,4.2
2009-09-01,Volvo,Volvo V70,347,3.6
2009-09-01,Toyota,Toyota Avensis,318,3.3
2009-09-01,Nissan,Nissan Qashqai,302,3.2
2009-09-01,Volkswagen,Volkswagen Passat,276,2.9
2009-09-01,Volvo,Volvo V50,243,2.5
2009-09-01,Volkswagen,Volkswagen Tiguan,238,2.5
2009-09-01,Ford,Ford Focus,229,2.4
2009-09-01,BMW,BMW 3-serie,198,2.1
2009-09-01,Skoda,Skoda Octavia,194,2.0
2009-09-01,Toyota,Toyota Auris,166,1.7
2009-09-01,Mazda,Mazda 6,164,1.7
2009-09-01,Audi,Audi A4,133,1.4
2009-09-01,Opel,Opel Insignia,132,1.4
2009-09-01,Toyota,Toyota Yaris,125,1.3
2009-09-01,Hyundai,Hyundai i30,123,1.3
2009-09-01,Honda,Honda CR-V,72,0.8
2009-09-01,Peugeot,Peugeot 308,62,0.7
2009-10-01,Volkswagen,Volkswagen Golf,632,6.2
2009-10-01,Ford,Ford Mondeo,395,3.9
2009-10-01,Toyota,Toyota Avensis,345,3.4
2009-10-01,Skoda,Skoda Octavia,318,3.1
2009-10-01,Nissan,Nissan Qashqai,307,3.0
2009-10-01,Toyota,Toyota Prius,290,2.8
2009-10-01,Volvo,Volvo V70,288,2.8
2009-10-01,Ford,Ford Focus,278,2.7
2009-10-01,Volkswagen,Volkswagen Passat,254,2.5
2009-10-01,Volvo,Volvo V50,220,2.2
2009-10-01,Audi,Audi A4,217,2.1
2009-10-01,Volkswagen,Volkswagen Tiguan,193,1.9
2009-10-01,BMW,BMW 3-serie,175,1.7
2009-10-01,Opel,Opel Insignia,167,1.6
2009-10-01,Toyota,Toyota Auris,162,1.6
2009-10-01,Toyota,Toyota Yaris,158,1.6
2009-10-01,Hyundai,Hyundai i30,125,1.2
2009-10-01,Honda,Honda CR-V,71,0.7
2009-10-01,Peugeot,Peugeot 308,69,0.7
2009-10-01,Mazda,Mazda 6,68,0.7
2009-11-01,Volkswagen,Volkswagen Golf,567,5.9
2009-11-01,Volvo,Volvo V70,538,5.6
2009-11-01,Ford,Ford Mondeo,335,3.5
2009-11-01,Volkswagen,Volkswagen Tiguan,325,3.4
2009-11-01,Toyota,Toyota Avensis,318,3.3
2009-11-01,Volkswagen,Volkswagen Passat,311,3.2
2009-11-01,Nissan,Nissan Qashqai,291,3.0
2009-11-01,Toyota,Toyota Urban Cruiser,272,2.8
2009-11-01,Audi,Audi A4,226,2.4
2009-11-01,Skoda,Skoda Octavia,220,2.3
2009-11-01,Volvo,Volvo V50,218,2.3
2009-11-01,Ford,Ford Focus,215,2.2
2009-11-01,Toyota,Toyota Prius,178,1.9
2009-11-01,Toyota,Toyota Yaris,170,1.8
2009-11-01,Toyota,Toyota Rav4,148,1.5
2009-11-01,Volvo,Volvo XC60,145,1.5
2009-11-01,Toyota,Toyota Auris,143,1.5
2009-11-01,Opel,Opel Insignia,143,1.5
2009-11-01,BMW,BMW 3-serie,130,1.4
2009-11-01,Peugeot,Peugeot 308,85,0.9
2009-12-01,Volvo,Volvo V70,668,6.5
2009-12-01,Volkswagen,Volkswagen Golf,454,4.4
2009-12-01,Ford,Ford Mondeo,421,4.1
2009-12-01,Volkswagen,Volkswagen Passat,414,4.0
2009-12-01,Volvo,Volvo XC60,384,3.7
2009-12-01,Volkswagen,Volkswagen Tiguan,370,3.6
2009-12-01,Ford,Ford Focus,277,2.7
2009-12-01,Toyota,Toyota Avensis,257,2.5
2009-12-01,Audi,Audi A4,257,2.5
2009-12-01,Nissan,Nissan Qashqai,231,2.3
2009-12-01,Skoda,Skoda Octavia,211,2.1
2009-12-01,Toyota,Toyota Yaris,182,1.8
2009-12-01,Toyota,Toyota Urban Cruiser,166,1.6
2009-12-01,Opel,Opel Insignia,147,1.4
2009-12-01,Toyota,Toyota Rav4,142,1.4
2009-12-01,BMW,BMW 3-serie,130,1.3
2009-12-01,Toyota,Toyota Auris,123,1.2
2009-12-01,Volvo,Volvo V50,81,0.8
2009-12-01,Toyota,Toyota Prius,78,0.8
2009-12-01,Peugeot,Peugeot 308,39,0.4
2010-01-01,Volkswagen,Volkswagen Golf,739,7.6
2010-01-01,Toyota,Toyota Prius,403,4.2
2010-01-01,Toyota,Toyota Avensis,347,3.6
2010-01-01,Peugeot,Peugeot 3008,336,3.5
2010-01-01,Volkswagen,Volkswagen Polo,310,3.2
2010-01-01,Ford,Ford Fiesta,308,3.2
2010-01-01,Toyota,Toyota Urban Cruiser,302,3.1
2010-01-01,Volvo,Volvo V50,302,3.1
2010-01-01,Volkswagen,Volkswagen Passat,299,3.1
2010-01-01,Nissan,Nissan Qashqai,279,2.9
2010-01-01,Ford,Ford Mondeo,226,2.3
2010-01-01,Peugeot,Peugeot 308,211,2.2
2010-01-01,Skoda,Skoda Octavia,197,2.0
2010-01-01,Toyota,Toyota Auris,190,2.0
2010-01-01,Toyota,Toyota Yaris,186,1.9
2010-01-01,Toyota,Toyota Rav4,182,1.9
2010-01-01,Volvo,Volvo V70,181,1.9
2010-01-01,Audi,Audi A4,176,1.8
2010-01-01,Peugeot,Peugeot 207,171,1.8
2010-01-01,Ford,Ford Focus,166,1.7
2010-02-01,Volkswagen,Volkswagen Golf,597,6.6
2010-02-01,Volvo,Volvo V70,330,3.6
2010-02-01,Volvo,Volvo V50,315,3.5
2010-02-01,Toyota,Toyota Avensis,313,3.4
2010-02-01,Volkswagen,Volkswagen Passat,311,3.4
2010-02-01,Skoda,Skoda Octavia,272,3.0
2010-02-01,Nissan,Nissan Qashqai,257,2.8
2010-02-01,Mitsubishi,Mitsubishi Outlander,233,2.6
2010-02-01,Toyota,Toyota Prius,204,2.2
2010-02-01,Peugeot,Peugeot 3008,193,2.1
2010-02-01,Volkswagen,Volkswagen Polo,188,2.1
2010-02-01,Toyota,Toyota Urban Cruiser,178,2.0
2010-02-01,Ford,Ford Mondeo,174,1.9
2010-02-01,Suzuki,Suzuki SX4,164,1.8
2010-02-01,Toyota,Toyota Yaris,153,1.7
2010-02-01,Toyota,Toyota Auris,149,1.6
2010-02-01,Audi,Audi A4,143,1.6
2010-02-01,Ford,Ford Fiesta,138,1.5
2010-02-01,Toyota,Toyota Rav4,120,1.3
2010-02-01,Peugeot,Peugeot 308,98,1.1
2010-03-01,Volkswagen,Volkswagen Golf,601,5.2
2010-03-01,Volvo,Volvo V70,387,3.4
2010-03-01,Toyota,Toyota Avensis,382,3.3
2010-03-01,Nissan,Nissan Qashqai,381,3.3
2010-03-01,Volkswagen,Volkswagen Passat,329,2.9
2010-03-01,Peugeot,Peugeot 3008,308,2.7
2010-03-01,Ford,Ford Mondeo,300,2.6
2010-03-01,Skoda,Skoda Octavia,278,2.4
2010-03-01,Ford,Ford Fiesta,266,2.3
2010-03-01,Volvo,Volvo V50,241,2.1
2010-03-01,Toyota,Toyota Auris,230,2.0
2010-03-01,Toyota,Toyota Prius,222,1.9
2010-03-01,Volvo,Volvo XC60,218,1.9
2010-03-01,Audi,Audi A4,207,1.8
2010-03-01,Ford,Ford Focus,204,1.8
2010-03-01,Opel,Opel Astra,202,1.8
2010-03-01,Mitsubishi,Mitsubishi Outlander,198,1.7
2010-03-01,Volkswagen,Volkswagen Polo,188,1.6
2010-03-01,Toyota,Toyota Urban Cruiser,158,1.4
2010-03-01,Toyota,Toyota Yaris,140,1.2
2010-04-01,Volkswagen,Volkswagen Golf,763,7.1
2010-04-01,Volvo,Volvo V70,413,3.9
2010-04-01,Nissan,Nissan Qashqai,386,3.6
2010-04-01,Volkswagen,Volkswagen Passat,370,3.5
2010-04-01,Volkswagen,Volkswagen Polo,324,3.0
2010-04-01,Toyota,Toyota Avensis,297,2.8
2010-04-01,Skoda,Skoda Octavia,272,2.5
2010-04-01,Mitsubishi,Mitsubishi Outlander,265,2.5
2010-04-01,Audi,Audi A4,259,2.4
2010-04-01,Volvo,Volvo V50,252,2.4
2010-04-01,Volkswagen,Volkswagen Tiguan,252,2.4
2010-04-01,Audi,Audi A3,235,2.2
2010-04-01,Peugeot,Peugeot 3008,220,2.1
2010-04-01,Opel,Opel Astra,211,2.0
2010-04-01,Toyota,Toyota Prius,200,1.9
2010-04-01,Toyota,Toyota Auris,192,1.8
2010-04-01,Ford,Ford Mondeo,179,1.7
2010-04-01,Toyota,Toyota Urban Cruiser,141,1.3
2010-04-01,Ford,Ford Focus,132,1.2
2010-04-01,Ford,Ford Fiesta,109,1.0
2010-05-01,Volkswagen,Volkswagen Golf,559,5.6
2010-05-01,Volvo,Volvo V70,395,4.0
2010-05-01,Nissan,Nissan Qashqai,381,3.9
2010-05-01,Volkswagen,Volkswagen Passat,334,3.4
2010-05-01,Ford,Ford Mondeo,290,2.9
2010-05-01,Toyota,Toyota Avensis,289,2.9
2010-05-01,Volkswagen,Volkswagen Polo,279,2.8
2010-05-01,Mitsubishi,Mitsubishi Outlander,236,2.4
2010-05-01,Audi,Audi A4,213,2.2
2010-05-01,Toyota,Toyota Auris,212,2.1
2010-05-01,Ford,Ford Fiesta,200,2.0
2010-05-01,Peugeot,Peugeot 3008,199,2.0
2010-05-01,Ford,Ford Focus,199,2.0
2010-05-01,Volkswagen,Volkswagen Tiguan,187,1.9
2010-05-01,Skoda,Skoda Octavia,178,1.8
2010-05-01,Audi,Audi A3,175,1.8
2010-05-01,Toyota,Toyota Prius,173,1.7
2010-05-01,Opel,Opel Astra,164,1.7
2010-05-01,Volvo,Volvo V50,162,1.6
2010-05-01,Toyota,Toyota Urban Cruiser,134,1.4
2010-06-01,Volkswagen,Volkswagen Golf,671,6.0
2010-06-01,Ford,Ford Mondeo,472,4.2
2010-06-01,Nissan,Nissan Qashqai,424,3.8
2010-06-01,Volvo,Volvo V70,373,3.4
2010-06-01,Toyota,Toyota Avensis,353,3.2
2010-06-01,Skoda,Skoda Octavia,263,2.4
2010-06-01,Volkswagen,Volkswagen Passat,262,2.4
2010-06-01,Toyota,Toyota Auris,256,2.3
2010-06-01,Ford,Ford Focus,254,2.3
2010-06-01,Audi,Audi A4,242,2.2
2010-06-01,Toyota,Toyota Prius,220,2.0
2010-06-01,Mitsubishi,Mitsubishi Outlander,217,2.0
2010-06-01,Opel,Opel Astra,213,1.9
2010-06-01,Volvo,Volvo V50,197,1.8
2010-06-01,Peugeot,Peugeot 3008,193,1.7
2010-06-01,Ford,Ford Fiesta,186,1.7
2010-06-01,Volkswagen,Volkswagen Polo,179,1.6
2010-06-01,Volkswagen,Volkswagen Tiguan,126,1.1
2010-06-01,Toyota,Toyota Urban Cruiser,112,1.0
2010-06-01,Audi,Audi A3,101,0.9
2010-07-01,Volkswagen,Volkswagen Golf,893,7.8
2010-07-01,Toyota,Toyota Avensis,416,3.6
2010-07-01,Volvo,Volvo V70,356,3.1
2010-07-01,Volkswagen,Volkswagen Passat,347,3.0
2010-07-01,Nissan,Nissan Qashqai,312,2.7
2010-07-01,Ford,Ford Mondeo,310,2.7
2010-07-01,Volkswagen,Volkswagen Polo,310,2.7
2010-07-01,Toyota,Toyota Auris,306,2.7
2010-07-01,Volvo,Volvo V50,299,2.6
2010-07-01,Skoda,Skoda Octavia,282,2.5
2010-07-01,Audi,Audi A4,248,2.2
2010-07-01,Volvo,Volvo XC60,245,2.1
2010-07-01,Ford,Ford Focus,202,1.8
2010-07-01,Peugeot,Peugeot 3008,201,1.7
2010-07-01,Toyota,Toyota Prius,199,1.7
2010-07-01,Mitsubishi,Mitsubishi Outlander,199,1.7
2010-07-01,Ford,Ford Fiesta,196,1.7
2010-07-01,Volkswagen,Volkswagen Tiguan,183,1.6
2010-07-01,Opel,Opel Astra,134,1.2
2010-07-01,Toyota,Toyota Urban Cruiser,100,0.9
2010-08-01,Volkswagen,Volkswagen Golf,544,5.2
2010-08-01,Toyota,Toyota Avensis,411,3.9
2010-08-01,Ford,Ford Fiesta,369,3.5
2010-08-01,Volkswagen,Volkswagen Polo,291,2.8
2010-08-01,Nissan,Nissan Qashqai,280,2.7
2010-08-01,Toyota,Toyota Auris,254,2.4
2010-08-01,Volkswagen,Volkswagen Passat,249,2.4
2010-08-01,Ford,Ford Mondeo,248,2.4
2010-08-01,Audi,Audi A4,237,2.3
2010-08-01,Volkswagen,Volkswagen Tiguan,218,2.1
2010-08-01,Ford,Ford Focus,210,2.0
2010-08-01,Peugeot,Peugeot 3008,203,1.9
2010-08-01,Volvo,Volvo V70,194,1.9
2010-08-01,Skoda,Skoda Octavia,177,1.7
2010-08-01,Toyota,Toyota Rav4,174,1.7
2010-08-01,Volvo,Volvo V50,164,1.6
2010-08-01,Toyota,Toyota Urban Cruiser,157,1.5
2010-08-01,Opel,Opel Astra,144,1.4
2010-08-01,Mitsubishi,Mitsubishi Outlander,141,1.4
2010-08-01,Toyota,Toyota Prius,125,1.2
2010-09-01,Volkswagen,Volkswagen Golf,670,6.0
2010-09-01,Volvo,Volvo V70,463,4.2
2010-09-01,Toyota,Toyota Auris,403,3.6
2010-09-01,Nissan,Nissan Qashqai,367,3.3
2010-09-01,Ford,Ford Focus,327,2.9
2010-09-01,Toyota,Toyota Avensis,318,2.9
2010-09-01,Ford,Ford Mondeo,267,2.4
2010-09-01,Skoda,Skoda Octavia,258,2.3
2010-09-01,Ford,Ford Fiesta,250,2.2
2010-09-01,Volkswagen,Volkswagen Passat,235,2.1
2010-09-01,Volkswagen,Volkswagen Tiguan,235,2.1
2010-09-01,Volkswagen,Volkswagen Polo,210,1.9
2010-09-01,Peugeot,Peugeot 3008,160,1.4
2010-09-01,Toyota,Toyota Rav4,160,1.4
2010-09-01,Volvo,Volvo V50,149,1.3
2010-09-01,Audi,Audi A4,144,1.3
2010-09-01,Toyota,Toyota Yaris,144,1.3
2010-09-01,Toyota,Toyota Prius,131,1.2
2010-09-01,Mitsubishi,Mitsubishi Outlander,122,1.1
2010-09-01,Opel,Opel Astra,90,0.8
2010-10-01,Volkswagen,Volkswagen Golf,742,6.9
2010-10-01,Volvo,Volvo V70,393,3.7
2010-10-01,Nissan,Nissan Qashqai,315,2.9
2010-10-01,Toyota,Toyota Avensis,299,2.8
2010-10-01,Ford,Ford Fiesta,299,2.8
2010-10-01,Volkswagen,Volkswagen Polo,297,2.8
2010-10-01,Toyota,Toyota Auris,273,2.6
2010-10-01,Skoda,Skoda Octavia,258,2.4
2010-10-01,Volkswagen,Volkswagen Tiguan,208,1.9
2010-10-01,Volvo,Volvo V50,191,1.8
2010-10-01,Toyota,Toyota Rav4,186,1.7
2010-10-01,Peugeot,Peugeot 3008,183,1.7
2010-10-01,Audi,Audi A4,178,1.7
2010-10-01,Ford,Ford Focus,174,1.6
2010-10-01,Volkswagen,Volkswagen Passat,168,1.6
2010-10-01,Toyota,Toyota Prius,155,1.5
2010-10-01,Ford,Ford Mondeo,147,1.4
2010-10-01,Toyota,Toyota Yaris,136,1.3
2010-10-01,Toyota,Toyota Urban Cruiser,133,1.2
2010-10-01,Mitsubishi,Mitsubishi Outlander,123,1.2
2010-11-01,Volkswagen,Volkswagen Golf,913,7.7
2010-11-01,Volvo,Volvo V70,492,4.1
2010-11-01,Ford,Ford Mondeo,424,3.6
2010-11-01,Toyota,Toyota Avensis,354,3.0
2010-11-01,Skoda,Skoda Octavia,323,2.7
2010-11-01,Volkswagen,Volkswagen Polo,318,2.7
2010-11-01,Nissan,Nissan Qashqai,306,2.6
2010-11-01,Mitsubishi,Mitsubishi Outlander,283,2.4
2010-11-01,Toyota,Toyota Auris,270,2.3
2010-11-01,Ford,Ford Focus,209,1.8
2010-11-01,Audi,Audi A4,205,1.7
2010-11-01,Toyota,Toyota Rav4,205,1.7
2010-11-01,Toyota,Toyota Urban Cruiser,202,1.7
2010-11-01,Toyota,Toyota Yaris,187,1.6
2010-11-01,Ford,Ford Fiesta,173,1.5
2010-11-01,Peugeot,Peugeot 3008,165,1.4
2010-11-01,Volkswagen,Volkswagen Tiguan,162,1.4
2010-11-01,Volvo,Volvo V50,147,1.2
2010-11-01,Toyota,Toyota Prius,105,0.9
2010-11-01,Volkswagen,Volkswagen Passat,80,0.7
2010-12-01,Volvo,Volvo V70,658,6.5
2010-12-01,Volkswagen,Volkswagen Golf,537,5.3
2010-12-01,Ford,Ford Mondeo,385,3.8
2010-12-01,Ford,Ford Focus,303,3.0
2010-12-01,Volvo,Volvo XC60,284,2.8
2010-12-01,Skoda,Skoda Octavia,256,2.5
2010-12-01,Mitsubishi,Mitsubishi Outlander,252,2.5
2010-12-01,Nissan,Nissan Qashqai,182,1.8
2010-12-01,Volkswagen,Volkswagen Passat,178,1.8
2010-12-01,Audi,Audi A4,161,1.6
2010-12-01,Toyota,Toyota Avensis,142,1.4
2010-12-01,Toyota,Toyota Auris,142,1.4
2010-12-01,Volkswagen,Volkswagen Polo,138,1.4
2010-12-01,Volvo,Volvo V50,127,1.3
2010-12-01,Volkswagen,Volkswagen Tiguan,124,1.2
2010-12-01,Ford,Ford Fiesta,117,1.2
2010-12-01,Peugeot,Peugeot 3008,115,1.1
2010-12-01,Toyota,Toyota Rav4,88,0.9
2010-12-01,Toyota,Toyota Yaris,74,0.7
2010-12-01,Toyota,Toyota Prius,71,0.7
2011-01-01,Volkswagen,Volkswagen Golf,637,6.1
2011-01-01,Toyota,Toyota Avensis,414,4.0
2011-01-01,Toyota,Toyota Auris,409,3.9
2011-01-01,Nissan,Nissan Qashqai,303,2.9
2011-01-01,Volkswagen,Volkswagen Polo,301,2.9
2011-01-01,Volkswagen,Volkswagen Passat,269,2.6
2011-01-01,Skoda,Skoda Octavia,257,2.5
2011-01-01,Ford,Ford Mondeo,245,2.4
2011-01-01,Ford,Ford Focus,206,2.0
2011-01-01,Volvo,Volvo V70,203,2.0
2011-01-01,Mitsubishi,Mitsubishi ASX,202,1.9
2011-01-01,Suzuki,Suzuki Swift,199,1.9
2011-01-01,Toyota,Toyota Rav4,194,1.9
2011-01-01,Volkswagen,Volkswagen Touran,186,1.8
2011-01-01,Toyota,Toyota Prius,173,1.7
2011-01-01,Suzuki,Suzuki SX4,171,1.6
2011-01-01,BMW,BMW X1,168,1.6
2011-01-01,Opel,Opel Astra,168,1.6
2011-01-01,Peugeot,Peugeot 3008,167,1.6
2011-01-01,Volkswagen,Volkswagen Tiguan,158,1.5
2011-01-01,Volvo,Volvo V50,158,1.5
2011-02-01,Volkswagen,Volkswagen Golf,532,5.0
2011-02-01,Toyota,Toyota Avensis,326,3.1
2011-02-01,Volvo,Volvo V70,323,3.1
2011-02-01,Volkswagen,Volkswagen Passat,319,3.0
2011-02-01,Ford,Ford Mondeo,313,3.0
2011-02-01,Toyota,Toyota Auris,283,2.7
2011-02-01,Skoda,Skoda Octavia,278,2.6
2011-02-01,Nissan,Nissan Qashqai,272,2.6
2011-02-01,Volvo,Volvo V50,251,2.4
2011-02-01,Mitsubishi,Mitsubishi ASX,222,2.1
2011-02-01,Volkswagen,Volkswagen Polo,200,1.9
2011-02-01,Peugeot,Peugeot 3008,192,1.8
2011-02-01,Ford,Ford Focus,191,1.8
2011-02-01,Volkswagen,Volkswagen Tiguan,183,1.7
2011-02-01,Volvo,Volvo XC60,177,1.7
2011-02-01,Toyota,Toyota Rav4,167,1.6
2011-02-01,Toyota,Toyota Yaris,164,1.6
2011-02-01,Volkswagen,Volkswagen Touran,159,1.5
2011-02-01,Opel,Opel Astra,136,1.3
2011-02-01,Suzuki,Suzuki Swift,124,1.2
2011-03-01,Volkswagen,Volkswagen Golf,714,5.5
2011-03-01,Volvo,Volvo V70,404,3.1
2011-03-01,Toyota,Toyota Avensis,369,2.9
2011-03-01,Volkswagen,Volkswagen Passat,347,2.7
2011-03-01,Mitsubishi,Mitsubishi ASX,336,2.6
2011-03-01,Toyota,Toyota Auris,322,2.5
2011-03-01,Ford,Ford Focus,321,2.5
2011-03-01,Volkswagen,Volkswagen Tiguan,296,2.3
2011-03-01,Nissan,Nissan Qashqai,282,2.2
2011-03-01,Ford,Ford Mondeo,280,2.2
2011-03-01,Volvo,Volvo V50,257,2.0
2011-03-01,Volkswagen,Volkswagen Polo,252,2.0
2011-03-01,Volvo,Volvo XC60,240,1.9
2011-03-01,Opel,Opel Astra,213,1.7
2011-03-01,Suzuki,Suzuki Swift,212,1.6
2011-03-01,Skoda,Skoda Octavia,209,1.6
2011-03-01,Toyota,Toyota Yaris,188,1.5
2011-03-01,Peugeot,Peugeot 3008,177,1.4
2011-03-01,Toyota,Toyota Rav4,162,1.3
2011-03-01,Volkswagen,Volkswagen Touran,130,1.0
2011-04-01,Volkswagen,Volkswagen Golf,680,6.0
2011-04-01,Mitsubishi,Mitsubishi ASX,642,5.7
2011-04-01,Volkswagen,Volkswagen Passat,432,3.8
2011-04-01,Volvo,Volvo V70,345,3.0
2011-04-01,Volkswagen,Volkswagen Polo,335,3.0
2011-04-01,Toyota,Toyota Avensis,296,2.6
2011-04-01,Toyota,Toyota Auris,270,2.4
2011-04-01,Ford,Ford Focus,266,2.3
2011-04-01,Nissan,Nissan Qashqai,258,2.3
2011-04-01,Skoda,Skoda Octavia,238,2.1
2011-04-01,Peugeot,Peugeot 3008,222,2.0
2011-04-01,Ford,Ford Mondeo,202,1.8
2011-04-01,Audi,Audi A4,175,1.5
