"Class","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
0,"n","y","n","y","y","y","n","n","n","n","y","y","n","y","n","n"
0,"y",NA,"y","n","n","n","y","y","y","n","y","n","n","n","y","y"
1,"n","y","n","y","y","y",NA,NA,"n","n",NA,NA,"y",NA,NA,NA
1,"n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
1,"n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
0,"y","y","y","n","n","y",NA,"y","y","n","y","n","y","n","y","y"
0,"y","y","y","n","y","y","y","y","y","y","y","n","y","y","n",NA
0,"y","y","n","y","y","y","n","n","n","n","y","n","y","y","n",NA
0,"y","y","y","n","y","y","n","y","y","y","y","n","n","n","n","y"
0,"y","y","y","y","y","y","n","n","n","n","y","y","y","y","n","y"
0,"y","y","n","n","y","y","n","n","n","n","y","y","y","y","y","n"
0,"n",NA,"y","n","y","y","n","y","n","n","y","n","n","n","n",NA
0,"y","y","y","n","y","y","n","y","y","n","y","n","n","y","n",NA
0,"n","y","y","y","y","y","n","n","n","n","n","y","y","y","n",NA
0,"y","n","y","n","n","n","y","y","y",NA,"y","n","n","n","y",NA
0,NA,NA,"n","n",NA,"y",NA,"n","n","n","y","y","n","y","n",NA
0,"y","y","n","n","n","n","n","y","y","n","y","n","n","n","y","n"
1,"y","y","n","y","y","y","n","n","n","n","y","y","y","y","n","y"
1,NA,NA,NA,NA,"n","y","n","y","y","n","n","y","y","n","n",NA
0,"y","y",NA,NA,NA,"y","n","n","n","n","y","n","y","n","n","y"
0,"y","y","y",NA,"n","n","n","y","n","n","y",NA,"n","n","y","y"
0,"y","y","y","n","y","y","n","y","n","n","y","n","y","n","y","y"
0,"y","y","n","n","y",NA,"n","n","n","n","y","n","y","y","n","y"
0,"n","y","y","n","y","y","n","y","n","n","n","n","n","n","n","y"
1,"n","y","n","y",NA,"y","n","n","n","y","n","y","y","y","n","n"
1,"n","y","n","y","y","y","n",NA,"n","n",NA,NA,NA,"y","n",NA
1,"n","y","n","y","y","y","n","n","n","y","y","y","y","y","n","n"
1,NA,"n","y","y","n","y","y","y","y","y","n","y","n","y","n","y"
1,"n","y","n","y","y","y","n","n","n","y","n","y",NA,"y","n","n"
1,"y","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
1,"n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
0,"y","n","y","n","y","y","n","n","y","y","n","n","y","y","n","y"
0,"n","n","n","y","y","y","n","n","n","n","y","y","y","y","n","n"
0,"y","n","y","n","n","y","y","y","y","n","n","y",NA,"y","y","y"
1,"n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
1,"n","n","n","y","y","y","n","n","n","n","y","y","y","y","n","y"
0,"y","n","y","n","n","y","y","y","y","y","y","n","n","n","n","y"
1,"n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
1,"y","y","y","y","y","y","y","y","n","y",NA,NA,NA,"y","n","y"
0,"y","y","y","n","n","n","y","y","y","n","n","n","n","n","n","y"
0,"n","y","y","n","n","y","y","y",NA,"y","n","n","n","n","n","y"
1,"y","y","n","y","y","y","n","n","n","y","n","n","y","y","n","y"
0,"y","y","y","n","n","n","y","y","y","y","y","n","y","n","n","y"
0,"y","y","y","n","n","n","y","y","n","y","n","n","n","n","n","y"
0,"y","y","y","n","n","n","y","y","y","n","n","n","n","n","n","y"
1,"y","y","y","y","y","y","y","y","n","y","n","n","y","y","n","y"
0,"n","y","y","n","y","y","y","y","n","n","y","n","y","n","y","y"
0,"n","n","y","n","n","y","y","y","y","n","y","n","n","n","y","y"
0,"n","y","y","n","n","y","y","y","y","n","y","n","n","y","y","y"
0,"n","y","y","n","n",NA,"y","y","y","y","y","n",NA,"y","y","y"
0,"n","n","y","n","n","n","y","y","n","y","y","n","n","n","y",NA
0,"y","n","y","n","n","n","y","y","y","y","n","n","n","n","y","y"
1,"n","n","n","y","y","y","y","y","n","y","n","y","y","y","n","y"
0,NA,NA,NA,"n","n","n","y","y","y","y","n","n","y","n","y","y"
0,"y","n","y","n",NA,"n","y","y","y","y","n","y","n",NA,"y","y"
1,"n","n","y","y","y","y","n","n","y","y","n","y","y","y","n","y"
0,"n","n","y","n","n","n","y","y","y","y","n","n","n","n","n","y"
1,"n",NA,"n","y","y","y","n","n","n","n","y","y","y","y","n","y"
1,"n","n","n","y","y","y",NA,NA,NA,NA,"n","y","y","y","n","y"
1,"n","y","n","y","y","y","n","n","n","y","n","y","y","y",NA,"n"
