month,cafes_restaurants_and_catering_services,cafes_restaurants_and_takeaway_food_services,clothing_retailing,clothing_footwear_and_personal_accessory_retailing,department_stores,electrical_and_electronic_goods_retailing,food_retailing,footwear_and_other_personal_accessory_retailing,furniture_floor_coverings_houseware_and_textile_goods_retailing,hardware_building_and_garden_supplies_retailing,household_goods_retailing,liquor_retailing,newspaper_and_book_retailing,other_recreational_goods_retailing,other_retailing,other_retailing_n.e.c.,other_specialised_food_retailing,pharmaceutical_cosmetic_and_toiletry_goods_retailing,supermarket_and_grocery_stores,takeaway_food_services
01-09-1995,14.9,24.4,8.4,13.9,20.5,8.5,65.3,5.5,11.1,5.3,25,2.8,8.7,3.2,22.6,5.9,6.1,4.8,56.4,9.5
01-10-1995,16.5,25.8,8.1,13.8,23.2,8.5,67.5,5.8,11.7,5.3,25.4,2.8,7.9,3.1,22.4,6.1,5.4,5.3,59.3,9.3
01-11-1995,15,24.5,8.4,14.1,25.3,8.8,67.9,5.7,11.9,5.4,26.1,3.1,8.7,3.6,24.3,6.2,5.5,5.8,59.3,9.5
01-12-1995,15.3,24.9,13.1,21.3,46.7,12.5,77.2,8.2,13.9,7.4,33.8,4.9,10.3,5.8,31.5,8.7,6,6.7,66.3,9.7
01-01-1996,12,21.4,7.9,13.3,19.7,9.3,64.8,5.4,11,4.6,24.8,2.9,6.5,3.3,19.6,5.1,5.4,4.8,56.5,9.3
01-02-1996,12.9,22.2,6.8,11.8,17.8,7.8,66.2,5.1,9.2,4.7,21.7,2.9,7,2.9,19.3,4.8,5.5,4.6,57.9,9.3
01-03-1996,14.7,25,8.1,13.6,20.1,8.7,70.6,5.4,10,5.2,23.9,3.2,7.8,3,21.2,5.3,5.5,5.1,61.9,10.3
01-04-1996,13.7,23.3,9.1,15.5,23.6,9.8,66.7,6.4,10.3,4.5,24.6,3.2,6.3,3.5,20.9,5.4,5.9,5.7,57.7,9.6
01-05-1996,14.6,25.3,9.3,15.5,23.6,9,71.3,6.2,10.8,4.9,24.7,3.2,6.8,3.4,21.7,5.3,6.2,6.1,61.8,10.6
01-06-1996,13.6,23.7,8.8,14.8,23.6,9.1,67.2,6,10.9,4.3,24.3,3.2,6,3.4,20.2,5,5.9,5.8,58.1,10.1
01-07-1996,13.2,23.1,9,14.5,22.2,10.6,68.6,5.4,10.4,4,25.1,3.1,5.1,3.6,19.5,5,6.8,5.9,58.7,10
01-08-1996,13.9,24.1,8.1,13.9,20.8,10.4,71.6,5.8,10.9,4.7,26,3.4,5.4,3.6,20.9,6,7,6,61.2,10.2
01-09-1996,13.9,23.9,8.7,14.6,20.3,11.5,67.2,5.9,11.1,4.8,27.3,3.3,4.7,4,21,6.3,6.7,6,57.3,10
01-10-1996,15,25,8.9,14.7,22.8,10.7,70.1,5.8,11.4,5.8,27.9,3.5,4.5,3.9,21.3,6.3,6.6,6.6,60.1,10
01-11-1996,16,25.9,8.1,14.5,25.2,12.1,71.5,6.4,12.8,6.5,31.5,3.7,4.9,4.9,24,7.2,6.6,7,61.1,9.9
01-12-1996,15.1,25.3,12.4,21.4,45.3,19,77.5,9,13.6,7.5,40.2,5.9,9.7,8,35.6,10.1,7,7.9,64.6,10.2
01-01-1997,13.6,22.3,7,13.4,20.1,12.3,66.1,6.3,12,6.2,30.6,3.2,6.7,4,22.7,5.9,4.3,6.2,58.6,8.7
01-02-1997,13.5,22.1,6.4,11.3,18.1,11.3,61.5,4.9,11.3,4.9,27.5,3.2,6.1,3.4,20.8,5.4,4,5.9,54.3,8.5
01-03-1997,12.8,21.9,7.1,12.8,21.3,11,66.8,5.7,12,5.5,28.4,3.5,7.2,3.8,23.5,6.5,4.2,5.9,59.1,9.2
01-04-1997,13.6,23.1,8.6,15.2,20.6,12.6,62.5,6.6,11.1,5.3,29,3.3,6.5,4.2,24,6.9,4,6.4,55.2,9.6
01-05-1997,15,25.4,9.7,16.6,24.5,13.2,67.1,6.9,11.8,5.8,30.8,3.4,7.4,4.4,25.8,7.3,4.2,6.7,59.5,10.4
01-06-1997,13,22.9,7.9,14.1,20,14.5,61.7,6.2,12.5,4.7,31.6,3.3,6.8,4.4,24.2,6.4,3.9,6.6,54.5,9.8
01-07-1997,14.7,25.4,8.9,14.9,25.6,15.6,65.3,6,13.9,5.2,34.8,3.1,7.9,4.2,26.9,6.4,4.4,8.5,57.8,10.6
01-08-1997,12.4,22.9,8.1,14.1,19.2,14,66.5,6,12.9,5.6,32.5,3,7.4,3.8,26.2,6.9,4.3,8.2,59.2,10.5
01-09-1997,12.8,23.7,7.5,13.2,21.3,13.6,64.4,5.7,12.2,6,31.9,3,7.1,4.1,25.1,6.1,4,7.9,57.4,10.9
01-10-1997,14,25.1,7.4,13.9,23.2,15.2,70.8,6.5,13.2,7.2,35.6,3.3,6.7,4.3,26.7,7.2,4.8,8.5,62.8,11
01-11-1997,13.9,24.7,7.7,14.5,26.3,15.2,70.1,6.8,13.7,7.7,36.6,3.4,6.8,4.7,27.5,7.6,4.7,8.5,62,10.8
01-12-1997,13.2,24.9,11.9,21.9,44,23.7,75.9,10,16.7,9.2,49.6,5.5,10.2,7.7,40.2,11.7,5.5,10.6,64.8,11.6
01-01-1998,12.4,21.8,6.3,12.9,23,14.4,69.2,6.6,11.1,6.4,31.9,2.9,5.5,3.8,25.2,7.9,4.5,8,61.7,9.4
01-02-1998,12.5,22.6,5.6,11.6,17.3,11.9,63.7,6,11.4,5.8,29,2.9,5.9,3.5,24.1,6.9,4,7.8,56.9,10.1
01-03-1998,13.9,25.1,6.3,12,19.8,13.1,68.5,5.7,11.8,6.1,31,3.2,7.7,3.9,27.2,6.5,4.4,9,60.9,11.1
01-04-1998,13.7,24,7.8,13.6,24.8,13.7,67.7,5.8,9.6,6,29.3,3.2,5.8,4.5,25.8,6.5,4,9,60.5,10.3
01-05-1998,14.4,25.4,9.1,15,24.5,13.6,69,5.9,12,5.8,31.4,3.4,6.9,4.3,27.6,6.9,3.9,9.5,61.7,11
01-06-1998,13.8,24.4,7.7,13.5,20.3,13.2,65,5.7,10.6,5.6,29.4,3,7.1,4.2,27.1,6.6,3.9,9.3,58.1,10.6
01-07-1998,12.8,23.4,8.7,15.6,27.2,15.4,69.6,6.9,13.2,5.8,34.4,2.9,7.8,3.8,28.7,7.8,5.2,9.3,61.4,10.6
01-08-1998,13.4,24.1,7.1,13.7,19.8,13,67.1,6.6,11.9,7.1,32,2.9,7.2,3.7,27.9,7.7,4.6,9.3,59.6,10.7
01-09-1998,14.2,24.7,7.5,14.1,21.5,12.8,66.6,6.6,12.4,8,33.2,3,7.6,3.9,28.4,7.3,5.1,9.6,58.5,10.5
01-10-1998,16.3,26.5,7.4,14.8,23.9,13.5,71.1,7.4,12.4,8.7,34.6,3.3,7.7,4.2,30,8.1,4.5,10.1,63.2,10.2
01-11-1998,15.3,25.3,7.4,14.6,25.8,14.4,67.5,7.2,12,8.7,35,3.5,7.9,4.7,29.7,7.9,4.6,9.2,59.4,10
01-12-1998,17.2,27.7,11.6,22.2,46.8,22.3,78,10.5,12.8,11.3,46.5,5.8,10.9,7.7,40.6,11.2,5.4,10.8,66.8,10.5
01-01-1999,14,23.4,6.7,12.9,24.6,14.9,71.2,6.2,9.3,8.9,33.1,3.1,7.9,4.1,25.2,6.1,3.9,7.1,64.1,9.4
01-02-1999,13.8,23.2,6.4,12.3,17,14.1,66.2,6,9.1,8,31.2,2.9,9.2,3.9,26.9,6.8,4.2,7.1,59.1,9.4
01-03-1999,15.6,26.1,7.3,14.1,21.3,17.1,73.1,6.8,11.2,8.1,36.5,3.5,11.2,4.6,31.5,7.7,4.6,8,65,10.4
01-04-1999,15.3,25.5,8.7,15.7,23.8,14.3,65.1,7,11.4,8.3,33.9,3.4,11.3,4,30.2,7.4,4.6,7.4,57.1,10.2
01-05-1999,15.6,25,8.5,15.5,23.6,15.2,71.5,7,12,8.8,36,3.5,12.2,4.1,32.2,8.1,4.8,7.8,63.2,9.4
01-06-1999,14.3,23.9,8.2,14.9,19.8,16.4,67.9,6.8,11.9,8,36.3,3.2,11.1,4.2,31.2,7.8,4.7,8.1,60,9.6
01-07-1999,14.9,23.4,8.2,15.9,25.8,18,73,7.7,15.7,9.1,42.7,3.4,11.8,4.1,33.6,9.1,5.2,8.5,64.4,8.6
01-08-1999,14.9,23.1,8.6,15.6,20.3,16.4,71.6,7.1,13.1,9.1,38.5,3.4,11,4.3,32.3,8.7,5.3,8.4,62.9,8.2
01-09-1999,15,23.4,7.5,14.7,22.2,15,72.4,7.2,14.9,9.7,39.5,3.5,10.6,4.2,31.9,8.5,5.3,8.6,63.7,8.4
01-10-1999,14.8,23,7.8,15.5,24,16.4,75.3,7.7,20.7,9.9,46.9,3.5,12.1,4.3,34.1,9.1,5,8.8,66.8,8.2
01-11-1999,16.9,25,8.1,15.2,27.8,16.5,74,7.2,18,10,44.6,3.7,13.2,4.9,38.1,9.1,5,10.9,65.2,8.1
01-12-1999,15.2,23.6,12.6,23.9,49.9,22.7,86.8,11.2,20.5,12.8,56,5.9,17,7.4,50.6,14,6,12.3,74.9,8.4
01-01-2000,13.2,20.3,8.4,14.6,22.1,17.8,76.1,6.2,15.7,9.5,43,3.3,9.9,4.3,29.4,6.8,6.7,8.4,66.1,7.1
01-02-2000,13.5,20.5,7.1,13.1,19.2,17.2,74.3,6,16.3,9,42.4,3.4,10.7,3.9,30.5,7.7,6.5,8.1,64.3,7
01-03-2000,14.5,22.5,8.5,15,21.8,20.3,78.2,6.5,17.4,9.2,46.9,3.5,12.5,4.7,33.9,8.4,5.7,8.4,69,8
01-04-2000,15.2,23.3,9.8,16.6,25.8,16.7,77.8,6.8,15.9,10,42.6,3.6,11.2,4.2,30.9,8.2,6.2,7.3,68,8
01-05-2000,15,23.4,10,17.4,27,21,81.5,7.5,18.4,10.2,49.6,3.5,11.4,4.7,33,8.9,6.8,8.1,71.1,8.4
01-06-2000,17.1,25.7,10.8,19.3,29.3,24.5,82.7,8.5,24.3,12.2,61.1,4.1,11.5,5.4,34.6,10.1,7.7,7.6,70.9,8.6
01-07-2000,16.5,25.7,8.3,15.2,20.8,18.2,82.4,6.9,15.2,8.4,41.7,3.5,11.6,4.7,35.8,8.7,7.7,10.7,71.2,9.2
01-08-2000,16.6,25.8,7.2,14.3,22.4,19,85.6,7.2,15.5,8.7,43.2,3.6,12.2,5.1,37.9,9.2,7.7,11.3,74.3,9.3
01-09-2000,18.1,27.5,8.7,15.8,23.9,17.8,82.3,7.1,15.9,10.8,44.5,3.7,11.1,5.1,37,9.3,7.7,11.5,70.8,9.4
01-10-2000,19.5,29.3,9.2,17.2,25.4,18,86.3,8,17.5,12.2,47.6,3.9,11.2,4.1,37.6,9.5,7.2,12.7,75.2,9.8
01-11-2000,19.6,29.5,9.9,18.4,28.1,19.8,88.1,8.5,18.5,12.2,50.5,4.4,12.4,4.8,40.4,10.3,8,12.9,75.7,10
01-12-2000,19.7,30,15.3,28.1,52.2,25.4,99.3,12.8,19.2,15.7,60.3,6.5,15.2,7.1,54.2,14.8,8.9,17.1,83.9,10.3
01-01-2001,19.4,29.2,9.9,17.3,22.4,17.3,85.3,7.3,16.8,11.4,45.5,3.8,9.3,3.7,35.1,7.9,7.4,14.2,74.2,9.9
01-02-2001,18,27.5,9.1,16,19.1,16.1,82.9,6.9,14,9.6,39.7,3.9,10.5,3.6,35.9,8,7.9,13.8,71.1,9.4
01-03-2001,20.6,31.2,11.4,19.4,24.9,17.8,93,8,16.2,10.4,44.5,4.2,11.7,3.8,40.3,9.2,8.9,15.6,79.9,10.6
01-04-2001,23.5,33,11.6,19.7,25.8,15.9,87.1,8.1,15.1,10.7,41.6,4,8.2,4,35.8,8.9,9.1,14.7,74,9.6
01-05-2001,23.7,33.7,12.4,21.1,26.6,18.4,89.6,8.6,16.3,10,44.7,4.2,9,4.1,37.1,9.6,8.9,14.4,76.5,10
01-06-2001,23,32.9,12.5,20.2,24.2,19.8,87.9,7.7,16.6,9.7,46.2,4.1,8.7,4.6,35.7,8.3,9.3,14.1,74.5,10
01-07-2001,21.3,31.5,11.7,19.9,27.2,23.2,93.3,8.2,17.5,10,50.7,4,9.1,5.1,38.2,9.4,9.7,14.6,79.6,10.2
01-08-2001,21.5,31.9,10.9,19.2,21.9,22.8,98.2,8.3,17.1,10.4,50.4,4.1,8.1,4.6,38,9.8,9.6,15.5,84.5,10.4
01-09-2001,21.2,31.1,10.8,19.3,23,21,96.9,8.6,17.8,12,50.7,4.5,7.9,4.5,35.9,10,10.1,13.6,82.3,9.9
01-10-2001,22.5,33.9,11.7,20,25.9,21.4,101.6,8.4,17.7,12.9,52,4.8,7.8,4.5,35.3,9.2,11.7,13.8,85,11.4
01-11-2001,22.5,33.8,12.3,21.3,30,23.5,104.6,9,18.2,12.7,54.4,5.3,8.2,5.2,37.4,10.3,12.5,13.7,86.8,11.3
01-12-2001,23.6,35.2,17.3,31,53.3,30.1,115.2,13.7,19.3,16,65.4,7.9,11.7,7.4,51.8,15.5,13.6,17.2,93.6,11.5
01-01-2002,20.1,30.4,11.6,20,23.6,22.5,101.9,8.4,16.2,12.2,51,4.9,8,4.5,34.3,8.3,10.8,13.5,86.2,10.3
01-02-2002,20.1,29.9,11.2,18.9,20.3,19.4,95.1,7.7,15.3,9.7,44.3,4.4,9.6,4,33.7,7.9,11.1,12.1,79.6,9.8
01-03-2002,22,32.6,11.7,19.8,24.6,22,104.8,8,15.7,12.6,50.4,5.1,9.8,4,36.5,9,11.4,13.7,88.3,10.5
01-04-2002,20.8,32,13.1,21.1,26.4,21.6,98.5,8,17.2,11.8,50.6,4.9,8.6,4.6,35.4,8.2,10,14,83.6,11.2
01-05-2002,20.8,32.6,14.5,22.8,28.4,24.3,104.9,8.3,17.2,10.9,52.3,5.5,9.7,4.6,37.1,8.4,10.6,14.4,88.8,11.7
01-06-2002,20.7,31.6,13.1,20.6,27.5,24.3,100.5,7.5,17.1,10.5,51.9,6.8,8.7,4.6,34.6,7.4,10,13.9,83.7,10.8
01-07-2002,20.3,31.3,11.5,19.5,24.5,20.2,100,8,16.9,10.6,47.7,5.7,11.8,3.6,38.4,7.9,8.5,15,85.8,11
01-08-2002,21,32,11.8,19.8,24.3,22.6,105.9,7.9,16.3,11.9,50.9,5.9,11.8,4,39.2,8.7,9.1,14.7,90.9,11
01-09-2002,21,31.9,10.9,19.4,24.2,18.8,100.9,8.5,16.3,13.5,48.6,5.7,9.9,3.7,37.4,9.4,8.6,14.5,86.6,10.9
01-10-2002,23.3,35.1,11.5,20.5,27.7,24.7,107.5,9,17.8,14.5,57,6.7,9.5,4.3,35.8,9.2,9,12.8,91.8,11.7
01-11-2002,23.8,35.5,12.6,22.8,33.9,25.3,108.1,10.2,18.5,15.5,59.2,7.5,9.9,4.8,38.7,10.8,9.7,13.3,90.9,11.7
01-12-2002,24.4,36.1,16.4,29.9,52.7,35,117.7,13.6,18.8,17.2,71,11.8,12.8,6.9,50.9,13.9,11,17.3,94.8,11.7
01-01-2003,19.6,30,10.1,17.2,24.3,26.5,104.2,7.1,18.4,13.6,58.5,6.5,9.9,4.6,32.7,6.5,8.6,11.7,89.1,10.4
01-02-2003,20.6,30.8,9.8,16.3,21.5,25.2,97,6.5,17.6,12.2,55,6.4,11.1,4.5,33,6.6,8.4,10.8,82.3,10.2
01-03-2003,24.1,35,12.7,19.8,26.1,27.5,105.5,7.2,19.2,13.9,60.6,6.9,11.6,4.8,35.9,7,9.2,12.5,89.4,10.9
01-04-2003,24,34.5,13.3,20.8,29.1,27.1,103.4,7.5,18.8,12.6,58.5,7.2,9.3,4.7,33.9,7.1,8.8,12.9,87.3,10.5
01-05-2003,25.7,37.2,13.3,20.9,28.6,28.7,107,7.6,19.9,13.7,62.3,7.2,10.2,4.9,36.9,7.3,8.8,14.5,91.1,11.5
01-06-2003,25.3,36.2,13.1,20.6,30.6,29.7,98.2,7.5,20.7,11.6,62,6.2,9.8,5.2,35.8,6.9,8.6,13.8,83.4,10.9
01-07-2003,26.1,37.9,12.3,19.5,25.1,28.4,103.7,7.2,21,11.2,60.5,7.3,11.5,5.1,38.3,7,8.4,14.7,88,11.8
01-08-2003,26.1,38.4,12.1,19.2,24.4,28.2,104.6,7.1,20,12.3,60.5,7.4,11.2,5,39.4,7.5,8.5,15.7,88.7,12.3
01-09-2003,25.7,37.7,11.9,19.5,25.7,28.2,101.3,7.6,19.3,14,61.5,7.3,10.1,5,39.1,8,8.7,16,85.2,12
01-10-2003,22.4,33.6,12.4,20.2,28.3,26.6,108.6,7.8,21.6,14.8,63.1,7.7,9.7,4.9,36.9,7.5,9.1,14.7,91.8,11.2
01-11-2003,22.1,33.3,12.9,21.6,32.9,30,109.2,8.7,20.9,16.4,67.3,8.3,9.7,5.6,39.2,8.8,9.5,15.1,91.3,11.3
01-12-2003,21.6,33.5,17.5,30.4,53.7,41.2,121.6,12.9,22,20.5,83.7,12.7,14.2,8.1,54.2,13.8,10.2,18.2,98.7,11.9
01-01-2004,14.8,26,11.2,19.2,25.9,30.3,110.1,8.1,19.4,15,64.7,7.1,8.6,5,35.6,8,8.2,14,94.8,11.2
01-02-2004,18.8,29.8,11.2,18.3,21.6,25.3,104.2,7.1,17.3,13.9,56.5,7.1,10.1,4.3,35.4,7.7,8.3,13.3,88.7,10.9
01-03-2004,18.9,30.6,12.1,19.7,26.1,28.2,108.3,7.6,19.5,14.2,62,7.6,9.7,4.8,37.7,7.9,8.5,15.4,92.2,11.7
01-04-2004,18.8,30.2,12.7,20.3,28.9,26.4,107,7.7,17.8,13.8,58,7.5,8.6,4.8,35.8,7.7,8.4,14.7,91.2,11.5
01-05-2004,20.1,32,13.8,21.7,29.6,27.4,109,7.9,19.5,13.2,60.1,7.3,8.9,4.8,35.1,7.6,8.3,13.8,93.5,11.9
01-06-2004,19.8,31.4,13.4,21.4,30.6,31,104.4,8,19.7,12.8,63.5,7.2,8.8,5.3,36,7.6,7.9,14.3,89.3,11.6
01-07-2004,20.4,33,11.8,19.1,26,31.2,112.6,7.3,19.3,11.8,62.3,7.7,11,5.6,38.5,7,8.7,14.9,96.2,12.6
01-08-2004,18.8,30.7,11.5,18.8,24.2,30.8,108.4,7.2,19.2,13,63,7.4,10,5.3,37.1,7.4,8.7,14.5,92.3,11.9
01-09-2004,18.5,30.6,12.7,20.4,26.6,26.7,109.4,7.7,19,14.8,60.5,7.5,8.8,5,35.9,7.6,8.8,14.4,93,12.2
01-10-2004,20.9,33.6,13.4,21.5,27.6,27.9,114.6,8.1,23.2,16.5,67.6,8.2,8.3,5.4,35.8,7.5,8.7,14.6,97.8,12.7
01-11-2004,18.2,30.4,13.5,22,31.5,28.8,113.9,8.4,21.4,16.6,66.8,8.4,8.4,5.8,37.6,8.1,9,15.4,96.4,12.1
01-12-2004,18.7,32.1,19.9,32.8,52.3,42.7,129.9,12.8,21.1,21.6,85.4,13.9,11.5,8.4,50.5,13.1,10.2,17.5,105.8,13.4
01-01-2005,15.2,26.6,13.3,21.1,25.3,27.4,112.3,7.8,22,15.3,64.7,7.6,8.8,4.5,31.7,6.7,8.1,11.6,96.6,11.4
01-02-2005,14.1,25.1,10.7,17.4,21.4,22.8,107.1,6.7,21.1,12.3,56.2,7.7,10.4,4.4,33.2,6.5,7.8,11.8,91.6,10.9
01-03-2005,14.7,26.3,13.7,21.1,26.7,24.5,118.1,7.4,22.1,13.5,60.1,8.5,9.2,4.7,33.7,6.6,9,13.1,100.7,11.6
01-04-2005,18.1,30.4,13.8,21.6,25,24.3,113.9,7.7,20.5,13.7,58.5,8.1,8.8,5.5,35.2,6.9,10,14,95.9,12.4
01-05-2005,17.8,30.3,14.5,22.6,28.2,25,114.8,8.1,21.6,13.6,60.1,7.9,8.8,5.6,35.6,7.5,10.4,13.7,96.5,12.5
01-06-2005,17.3,29.1,15.5,23.6,32.6,28.5,112.2,8.1,23.8,11.6,63.9,8,8.2,6,35,7.3,10.3,13.5,93.9,11.8
01-07-2005,17.2,29.6,12.9,20.6,25.3,27.9,115.9,7.7,27,12.6,67.5,8.1,11.3,5.9,41.3,7.6,5.7,16.5,102,12.4
01-08-2005,15,27.2,12.1,19.8,24.8,27.2,117.8,7.7,27.7,13.5,68.4,8.2,10.2,5.8,40.9,8,6.5,16.9,103.1,12.2
01-09-2005,14.4,26.3,14.6,22.7,25.5,27.3,117,8.1,24.8,15.6,67.7,8.1,9.5,5.7,40.2,8,6.8,16.9,102.1,11.9
01-10-2005,14.5,26.3,15.9,24.4,26.4,28.3,120.8,8.5,28.5,18,74.7,8.4,8,5.6,36.4,8.3,6.4,14.5,106,11.8
01-11-2005,13.4,25.4,16.1,25,34.3,32,120.5,8.9,28.6,19.2,79.8,8.8,8.2,5.9,38.4,9,6.4,15.3,105.4,12
01-12-2005,13.6,25.5,22.1,35.3,53.8,44,138.6,13.2,30.2,24,98.2,13.6,10.9,8.8,51.4,13.9,7.4,17.8,117.6,11.9
01-01-2006,10.8,21.7,13,21.3,26.9,32.9,118.2,8.3,28.1,15.5,76.5,7.9,7.8,5.5,35,7.7,5.4,14,104.9,10.9
01-02-2006,11.2,21.9,12.4,20,22.6,27.2,106.7,7.6,24.2,14.3,65.7,7.7,9.8,5.2,37.1,7.7,5.4,14.4,93.7,10.7
01-03-2006,12.7,24.9,15.6,24.2,26.4,29.8,117.9,8.6,25.5,14.9,70.3,8.4,9.3,5.7,39.5,8.3,5.7,16.1,103.8,12.2
01-04-2006,13.2,24.8,17.1,26.2,30.8,30.5,113.8,9.1,25.3,16.1,71.9,8.3,8.4,5.4,36.2,8.6,5.7,13.8,99.8,11.6
01-05-2006,14.7,27,16.3,25.7,28.8,32.1,113.8,9.3,28.1,13.4,73.6,8,8.6,5.9,38,9,5.6,14.5,100.2,12.4
01-06-2006,12.6,24.5,16.2,25.3,34.2,35.8,113.3,9.2,30.1,13.6,79.5,8.2,8.3,6.7,38,8.8,5.7,14.1,99.5,11.8
01-07-2006,13.6,24,14.6,23.3,28.4,34.8,117.1,8.7,29.2,13.2,77.2,8.3,10.6,6.7,41.1,9.2,7.2,14.5,101.6,10.4
01-08-2006,14.9,26.1,13.2,22,26.6,33.2,121.1,8.7,29.7,15.2,78.1,8.4,9.1,5.7,39.1,9.6,7.5,14.7,105.2,11.2
01-09-2006,15.1,26.2,14.5,23.8,24.8,36.2,120.5,9.3,30,17.4,83.6,8.8,8.3,6.1,38.8,10.2,7,14.1,104.7,11
01-10-2006,22,33.7,14.4,23.7,27.9,38.4,121.2,9.3,27.5,19.6,85.4,9.1,9,6.5,39.2,9.8,8.4,13.9,103.7,11.7
01-11-2006,18.2,30.5,14.1,23.4,33.5,42.2,126,9.3,30.4,18.7,91.3,9.7,9.6,7.1,41.2,10.4,8.7,14,107.6,12.3
01-12-2006,21.1,33.9,20.9,35,56.8,57.7,135.7,14.2,32.4,23.9,114,13.8,13,10.1,53.1,15.7,9.5,14.3,112.4,12.8
01-01-2007,16.1,29.3,15.2,23.7,28.2,36.1,116.3,8.5,25.4,17.6,79.2,8.6,10.6,5.9,36.4,8.7,7.8,11.2,99.9,13.2
01-02-2007,16.6,29.5,15.5,23.9,22.8,31.8,112.1,8.4,24.5,15,71.3,8.2,11.2,5.5,37,9.1,7.9,11.1,96,12.8
01-03-2007,18.9,33.8,19.9,29.3,29,36.1,124.4,9.4,27.1,16.2,79.4,9.6,12.9,6.3,41.9,10,8.9,12.5,105.9,14.9
01-04-2007,20.3,34.4,18.5,27.6,29.7,31.7,122.7,9,22.1,15.9,69.7,8.9,10.7,6.2,37.4,8.9,9.8,11.5,104,14.1
01-05-2007,23.9,39.8,18.9,28.5,30.6,34.8,125.6,9.6,24.3,15.3,74.4,8.6,10.8,6.4,39,9.2,10.1,12.6,107,15.9
01-06-2007,23.3,39.7,19.7,28.8,32.4,41,123.3,9.2,25.9,14.8,81.7,8.9,10.2,7.4,38.3,8.9,10.1,11.7,104.3,16.4
01-07-2007,23.7,39.4,18.7,27.1,30.1,35.9,121.2,8.4,20.5,14,70.5,8.7,12.5,6.2,39.6,8.5,9.1,12.3,103.5,15.6
01-08-2007,25.8,42.4,17.2,26.5,26.5,36,126.6,9.3,23.9,15.9,75.9,9.1,10,6.5,39.5,9.7,9.6,13.3,107.8,16.6
01-09-2007,24.3,40.7,18.3,27.4,27.3,34.6,124.1,9,23.8,18.9,77.3,9,10.2,6.6,38.3,9.5,9.5,12.1,105.6,16.4
01-10-2007,25.7,41.7,19.8,28.5,30.6,35,129.1,8.8,21.8,20.5,77.3,9.4,10.5,6.5,42.6,8.2,12.6,17.4,107.1,16
01-11-2007,25.2,41.8,19.3,28,33.9,38.7,132.9,8.7,21.1,20.8,80.6,10.1,11,7.2,43.3,8.8,12.4,16.3,110.4,16.6
01-12-2007,26.4,43.4,27.6,39.7,58.2,52.3,142.3,12.1,22.2,24.4,98.8,15.5,15.2,10.2,56.8,12.4,13.2,19,113.6,17
01-01-2008,22.6,37.3,16,24.4,29.4,35.1,129.1,8.5,19.4,18.8,73.3,10.1,9.7,6.8,39,8.2,10.7,14.2,108.2,14.7
01-02-2008,27.6,42.8,16.2,24,24.3,29.8,126,7.9,18.5,16.4,64.7,9.7,12.9,5.7,40.8,7.8,11.3,14.5,105,15.2
01-03-2008,25.1,41.6,20.2,28,29.3,31.1,135.3,7.8,17.8,18.1,67,10.1,11.6,6.3,40.9,7.9,11.7,15.1,113.5,16.5
01-04-2008,24.3,40.6,22.7,31,30.2,31.6,130.9,8.3,17.2,16.5,65.3,9.4,10.2,7.3,40.1,7.7,11.7,14.8,109.7,16.4
01-05-2008,25.8,42.4,21.5,30.1,30.2,34.1,137.8,8.6,17.9,16.3,68.3,9.9,10.9,6.9,41.7,8,12.3,15.9,115.6,16.7
01-06-2008,24.1,40.3,20.4,28,31.5,37.2,125.5,7.6,18.6,15.6,71.4,9.3,10.3,7,38.9,7.2,11.5,14.5,104.7,16.2
01-07-2008,24.4,39.5,19.9,27.6,30.9,34.3,131.1,7.7,17.3,15.3,66.9,10.6,12,6.5,41.4,7.3,11.2,15.5,109.3,15.1
01-08-2008,25.5,40.4,19,27.5,24.7,34.1,132.2,8.5,18.6,17.5,70.2,8.6,10.8,6.7,41.4,8.3,11.2,15.6,112.4,14.9
01-09-2008,23.6,37.8,20.6,29.9,26.7,31.8,127.1,9.3,16.9,19.5,68.3,9.5,10.1,6.8,40.3,8.1,10.8,15.2,106.9,14.2
01-10-2008,28.2,42.9,22.3,30.9,28.4,33.3,141,8.6,18.2,21.7,73.2,11.6,9.8,7.6,40.2,8.1,11.7,14.7,117.7,14.7
01-11-2008,27.1,41,24,33.4,32.3,36.6,141.6,9.4,18.4,24.2,79.2,11.4,9.7,8.8,41.1,9.3,11.3,13.3,118.9,13.9
01-12-2008,27.4,41,33.2,46.3,56.7,56.5,152.8,13.1,20.7,28.9,106.1,15.5,14.2,13.1,60.3,13.3,12.8,19.7,124.5,13.6
01-01-2009,25.5,38.5,21.1,30.5,30.5,35.8,139.1,9.4,19.5,23.4,78.7,10.8,8.5,8,35.7,7.9,10.6,11.4,117.6,13
01-02-2009,28.6,41.4,18.9,26.6,22.3,30.4,129.5,7.6,17.9,18.2,66.5,9.3,11.6,6.9,34.3,7.2,10.9,8.7,109.3,12.8
01-03-2009,30.8,45,22.6,31.7,27.4,34.2,140,9.1,19.5,20.8,74.5,9.9,10.7,7.8,35.9,7.7,11.1,9.7,119,14.2
01-04-2009,29.4,42.7,24.8,34,33.4,32.7,136.2,9.3,18,21.5,72.2,9.6,9.2,9.3,37.3,7.7,11.4,11,115.2,13.3
01-05-2009,32.7,46.4,27.1,37.3,32,37.7,141.9,10.2,18.8,21.2,77.6,10,10,9,37.9,8.6,11,10.3,120.9,13.7
