"INCOME","SEX","MARITAL.STATUS","AGE","EDUCATION","OCCUPATION","AREA","DUAL.INCOMES","HOUSEHOLD.SIZE","UNDER18","HOUSEHOLDER","HOME.TYPE","ETHNIC.CLASS","LANGUAGE"
"[40.000-50.000)","M","Married","25-34","College graduate","Professional/Managerial","-1 year","Yes","Two","None","Rent","Apartment","White",NA
"[30.000-40.000)","M","Married","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Yes",NA,"None","Rent","Apartment","Asian","Other"
"[40.000-50.000)","F","Married","45-54","College graduate","Professional/Managerial","10+ years","Yes","Six","Three","Own","House","White","English"
"[75.000-","F","Married","55-64","College graduate","Homemaker","10+ years","No","Two","None","Own","House","White","English"
"[50.000-75.000)","F","Divorced","35-44","1 to 3 years of college","Sales Worker","10+ years","Not Married","Two","One","Own","House","White","English"
"[30.000-40.000)","F","Married","25-34","1 to 3 years of college","Student, HS or College","-1 year","Yes","Two","None","Rent","Apartment","White","English"
"[30.000-40.000)","F","Divorced","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Three","Two","Own","Condominium","White","English"
"[75.000-","F","Married","35-44","Grad Study","Professional/Managerial","10+ years","Yes","Three","One","Own","House","White","English"
"[75.000-","F","Single","18-24","Graduated High Scool","Unemployed","1-3 years","Not Married","Five","Two","Family","House","White","English"
"-10.000)","F","Single","18-24","College graduate","Professional/Managerial",NA,"Not Married","One","None","Rent","Apartment","White","English"
"-10.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","1-3 years","Not Married","Four","None","Rent","Apartment","Other","English"
"[25.000-30.000)","F","Divorced","45-54","1 to 3 years of college","Clerical/Service Worker","10+ years","Not Married","One","None","Own","Condominium","White","English"
"[75.000-","F","Married","25-34","College graduate","Homemaker","4-6 years","No","Three","One","Own","Other","White","English"
"[50.000-75.000)","F","Single","35-44","Grad Study","Professional/Managerial","7-10 years","Not Married","One","None","Own","Other","White","English"
"[40.000-50.000)","F","Divorced","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Two","None","Own","Condominium","Other",NA
"[20.000-25.000)","F","Married","55-64","1 to 3 years of college","Clerical/Service Worker","10+ years","No","Two","None","Own","House","White","English"
"[25.000-30.000)","F","Married","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"[50.000-75.000)","F","Married","35-44","Grad Study","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"[25.000-30.000)","F","Married","55-64","Graduated High Scool","Homemaker","10+ years","No","Two","None","Own","House","White","English"
"[20.000-25.000)","F","Single","25-34","College graduate","Professional/Managerial","1-3 years","Not Married","Two","None","Rent","Other","White","English"
"[15.000-20.000)","F","Single","25-34","College graduate","Student, HS or College","7-10 years","Not Married","One","None","Rent","Apartment","White","English"
"[40.000-50.000)","F","Single","18-24","Graduated High Scool","Student, HS or College","10+ years","Not Married","Six","Three","Family","House","White","English"
"[50.000-75.000)","M","Single","25-34","College graduate","Professional/Managerial","10+ years","Not Married","Two","None","Own","House","White","English"
"[50.000-75.000)","M","Married","45-54","College graduate","Professional/Managerial",NA,"No","Four","Two","Own","House","White","English"
"[50.000-75.000)","M","Married","45-54","1 to 3 years of college","Professional/Managerial","7-10 years","Yes","Three","None","Own","House","White","English"
"[50.000-75.000)","M","Divorced","35-44","College graduate","Professional/Managerial","10+ years","Not Married","One","None","Own","Condominium","White","English"
"[40.000-50.000)","M","Divorced","35-44","Grad Study","Professional/Managerial","7-10 years","Not Married","Four","One","Rent","House","White","English"
"[40.000-50.000)","M","Divorced","25-34","1 to 3 years of college","Sales Worker","10+ years","Not Married","One","None","Rent","Apartment","Hispanic","English"
"[50.000-75.000)","M","Married","45-54","Grad Study","Professional/Managerial","10+ years","Yes","Three","One","Own","House","White","English"
"[75.000-","M","Married","35-44","College graduate","Professional/Managerial","10+ years","Yes","Three","One","Own","House","White","English"
"[50.000-75.000)","M","Married","45-54","Grad Study","Sales Worker","10+ years","Yes","Two","None","Own","House","White","English"
"[30.000-40.000)","M","Single","55-64","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","One","None","Own","House","Other","English"
"[25.000-30.000)","M","Married","25-34","1 to 3 years of college","Military","1-3 years","Yes","Two","None","Rent","Apartment","White","English"
"-10.000)","M","Single","18-24","1 to 3 years of college","Student, HS or College","1-3 years","Not Married","Five","None","Rent","Apartment","White","English"
"[30.000-40.000)","M","Married","45-54","College graduate","Retired","10+ years","Not Married","Two","None","Own","House","Hispanic","English"
"[75.000-","M","Married","45-54","College graduate","Professional/Managerial","10+ years","Yes","Two","None","Own","House","Pacific Islander","English"
"[75.000-","M","Married","35-44","College graduate","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"[10.000-15.000)","M","Divorced","65+","Graduated High Scool","Retired","10+ years","Not Married","One","None","Rent","Other","White","English"
"[50.000-75.000)","M","Married","25-34","1 to 3 years of college","Professional/Managerial","4-6 years","Yes","Two","None","Rent","House","Asian","Other"
"[25.000-30.000)","M","Married","65+","1 to 3 years of college","Retired","10+ years","No","Two","None","Own","House","White","English"
"-10.000)","F","Single","14-17","Grade 8 or less","Student, HS or College","10+ years","Not Married","Three","One","Family","Apartment","White","English"
"[75.000-","F","Married","45-54","College graduate","Professional/Managerial","10+ years","Yes","Four","Two","Own","House","White","English"
"[40.000-50.000)","F","Married","45-54","College graduate","Clerical/Service Worker","7-10 years","Yes","Two","None","Own","House","Pacific Islander",NA
"[50.000-75.000)","M","Married","25-34","College graduate","Professional/Managerial","10+ years","No","Two","None","Own","House","Other","English"
"[50.000-75.000)","F","Married","25-34","College graduate","Sales Worker","10+ years","Yes","Two","None","Own","House","White","English"
"[75.000-","F","Married","35-44","College graduate","Professional/Managerial","7-10 years","Yes","Four","Two","Own",NA,"Asian","English"
"[20.000-25.000)","M","Together","25-34","Grades 9 to 11","Factory Worker/Laborer/Driver","10+ years","Yes","Two","None","Rent","Apartment","White","English"
"[75.000-","F","Married","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Six","Two","Own","House","White","English"
"-10.000)","F","Single","18-24","Graduated High Scool","Student, HS or College","4-6 years","Not Married","Five","Three","Family","House","White","English"
"[15.000-20.000)","M","Single","18-24","Graduated High Scool","Factory Worker/Laborer/Driver","10+ years","Not Married","Two","None","Rent","House","White","English"
"[50.000-75.000)","F","Single","18-24","Graduated High Scool","Student, HS or College","10+ years","Not Married","Five","Five","Family","House","Pacific Islander","English"
"[75.000-","F","Married","35-44","College graduate","Homemaker","10+ years","No","Four","Two","Own","House","White","English"
"[50.000-75.000)","F","Single","45-54","College graduate","Retired","10+ years","Not Married","One","None","Own","House","White","English"
"[15.000-20.000)","M","Single","18-24","1 to 3 years of college","Factory Worker/Laborer/Driver","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"-10.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","1-3 years","Not Married",NA,"None","Rent",NA,"White","English"
"[25.000-30.000)","M","Widowed","65+","Graduated High Scool","Retired","10+ years","Not Married","One","None","Own","House","White","English"
"-10.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","7-10 years","Not Married","Four","One","Family","House","White","English"
"[10.000-15.000)","F","Widowed","65+","Graduated High Scool","Retired","10+ years","Not Married","One","None","Own","Other","White","English"
"-10.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","1-3 years","Not Married","Three","None","Family","House","Other","English"
"[50.000-75.000)","F","Married","65+","Graduated High Scool","Homemaker","10+ years","No","Two","None","Own","House","White","English"
"[40.000-50.000)","F","Married","25-34","1 to 3 years of college","Homemaker","10+ years","No","Four","Two","Own","House","White","English"
"[50.000-75.000)","F","Married","55-64","Graduated High Scool","Homemaker","10+ years","No","Two","None","Own","House","White","English"
"-10.000)","M","Single","18-24","1 to 3 years of college","Student, HS or College","7-10 years","Not Married","Four","None","Rent","Apartment","White","English"
"[40.000-50.000)","F","Divorced","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Two","None","Own","House","White","English"
"[40.000-50.000)","M","Married","65+","College graduate","Professional/Managerial","10+ years","No","Two","None","Own","House","White","English"
"[50.000-75.000)","F","Married","25-34","1 to 3 years of college","Homemaker","4-6 years","No","Two","None","Own","Other","White","English"
"[50.000-75.000)","F","Single","18-24","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Two","None","Family","House","White","English"
"[20.000-25.000)","M","Single","18-24","1 to 3 years of college","Factory Worker/Laborer/Driver","10+ years","Not Married","One","None","Rent","Apartment","Hispanic","English"
"[10.000-15.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","7-10 years","Not Married","Four","None","Family","House","American Indian","English"
"[25.000-30.000)","M","Widowed","65+","Graduated High Scool","Professional/Managerial","10+ years","Not Married","One","None","Own","House","White","English"
"[30.000-40.000)","M","Married","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Four","Two","Own","House","White","English"
"[10.000-15.000)","F","Single","18-24","1 to 3 years of college","Sales Worker","10+ years","Not Married","Four","None","Family","House","Hispanic","Spanish"
"[20.000-25.000)","M","Married","35-44","College graduate","Professional/Managerial","7-10 years","Yes","Two","None","Rent","Apartment","White","English"
"[40.000-50.000)","M","Married","55-64","1 to 3 years of college","Retired","10+ years","No","Two","None","Own","House","White","English"
"-10.000)","F","Widowed","65+","Graduated High Scool","Retired","10+ years","Not Married","One","None","Own","House","White","English"
"[50.000-75.000)","M","Married","55-64","1 to 3 years of college","Professional/Managerial","10+ years","No","Two","None","Own","House","White","English"
"-10.000)","F","Single","18-24","1 to 3 years of college","Sales Worker","10+ years","Not Married","One","None","Rent","House","White","English"
"[15.000-20.000)","F","Widowed","65+","1 to 3 years of college","Retired","10+ years","Not Married","One","None","Own","House","White","English"
"[50.000-75.000)","F","Married","25-34","Graduated High Scool","Professional/Managerial","10+ years","Yes","Two","None","Own","Condominium","Pacific Islander","English"
"[25.000-30.000)","M","Married","35-44","College graduate","Factory Worker/Laborer/Driver","1-3 years","No","Four","Two","Rent","Apartment","White","English"
"[15.000-20.000)","M","Together","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Two","None","Rent","Apartment","White","English"
"[15.000-20.000)","F","Together","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Two","None","Rent","Apartment","White","English"
"-10.000)","M","Single","18-24","Graduated High Scool","Student, HS or College","10+ years","Not Married","Four","One","Family","House","White","English"
"-10.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Three","None","Own","House","White","English"
"[75.000-","M","Married","35-44","College graduate","Professional/Managerial","10+ years","Yes","Four","One","Own","House","White","English"
"[30.000-40.000)","F","Married","65+","Graduated High Scool","Retired","10+ years","No","Two","None","Own","House","White","English"
"[50.000-75.000)","F","Single","18-24","Grad Study","Professional/Managerial","10+ years","Not Married","Three","None","Family","House","Hispanic",NA
"[75.000-","M","Married","35-44","1 to 3 years of college","Sales Worker","10+ years","Yes","Four","Two","Rent","House","White","English"
"[20.000-25.000)","M","Single","25-34","1 to 3 years of college","Professional/Managerial","1-3 years","Not Married","Three","None","Rent","House","Asian","English"
"[25.000-30.000)","M","Together","25-34","College graduate","Professional/Managerial","10+ years","Not Married","Two","None","Rent","Apartment","White","English"
"[50.000-75.000)","M","Single","18-24","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Five","One","Family","House","White","English"
"[25.000-30.000)","F","Married","65+","1 to 3 years of college","Retired","10+ years","No","Two","None","Own","House","White","English"
"[15.000-20.000)","F","Single","25-34","1 to 3 years of college","Clerical/Service Worker","10+ years","Not Married","Five","Two","Family","House","Asian","English"
"[75.000-","M","Married","45-54","Grad Study","Retired","4-6 years","No","Nine or more","Two","Own","House","White","English"
"[25.000-30.000)","M","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Four","One","Family","House","Asian","English"
"[30.000-40.000)","M","Married","35-44","Graduated High Scool","Homemaker","1-3 years","Yes","Three","One","Own","House","Asian","English"
"[10.000-15.000)","F","Widowed","65+","1 to 3 years of college","Retired","10+ years","Not Married","One","None","Own","House","White","English"
"[30.000-40.000)","M","Single","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","One","None","Rent",NA,"Hispanic","English"
"[10.000-15.000)","F","Single","18-24","College graduate","Clerical/Service Worker","4-6 years","Not Married","Five","One","Rent","House","Pacific Islander","English"
"[40.000-50.000)","F","Single","18-24","Graduated High Scool","Sales Worker","10+ years","Not Married","Three","None","Family","House","White","English"
"[75.000-","F","Single","18-24","1 to 3 years of college","Student, HS or College","1-3 years","Not Married","Two","None","Own","Apartment","White","Other"
"[40.000-50.000)","M","Divorced","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","One","None","Own","House","Other","English"
"[30.000-40.000)","M","Single","18-24","1 to 3 years of college","Factory Worker/Laborer/Driver","7-10 years","Not Married","One","None","Own","Condominium","Hispanic","English"
"[75.000-","M","Married","35-44","Grad Study","Professional/Managerial","10+ years","Yes","Four","Two","Own","House","Black","English"
"[50.000-75.000)","M","Single","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Three","None","Rent","House","White","English"
"[20.000-25.000)","M","Single","45-54","1 to 3 years of college","Clerical/Service Worker","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"-10.000)","M","Divorced","25-34","1 to 3 years of college","Unemployed","10+ years","Not Married","Three","None","Family","House","White","English"
"[40.000-50.000)","F","Divorced","35-44","College graduate","Professional/Managerial","10+ years","Not Married","Three","Two","Own","House","White","English"
"[40.000-50.000)","F","Widowed","65+","Graduated High Scool","Clerical/Service Worker","10+ years","Not Married","One","None","Own","Condominium","White","English"
"[75.000-","M","Married","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Two","One","Own","House","Asian","Other"
"[30.000-40.000)","M","Married","25-34","1 to 3 years of college","Professional/Managerial","10+ years","No","Three","One","Own","House","White","English"
"[30.000-40.000)","M","Married","65+","Graduated High Scool",NA,NA,"No","Two","None","Own","House","White","English"
"[30.000-40.000)","F","Married","55-64","1 to 3 years of college","Retired","10+ years","No","Two","None","Own","House","White","English"
"[75.000-","F","Married","35-44","1 to 3 years of college","Clerical/Service Worker","10+ years","Yes","Four","Two","Own","House","White","English"
"[40.000-50.000)","M","Married","35-44","1 to 3 years of college","Sales Worker","10+ years","Yes","Six","Two","Own","House","Hispanic","English"
"[75.000-","M","Married","35-44","College graduate",NA,NA,"Yes","Three","None","Own","House","White","English"
"[50.000-75.000)","M","Divorced","35-44","Grad Study","Professional/Managerial","10+ years","Not Married",NA,"None","Rent","Apartment","White","English"
"[40.000-50.000)","F","Widowed","65+","College graduate","Retired","10+ years","Not Married","One","None","Own","Condominium","White","English"
"[30.000-40.000)","F","Married","55-64","1 to 3 years of college","Retired","10+ years","No","Two","None","Own",NA,"White","English"
"[50.000-75.000)","F","Married","65+","1 to 3 years of college","Homemaker","10+ years","No","Two","None","Own",NA,"White","English"
"[75.000-","F","Married","45-54","1 to 3 years of college","Sales Worker","10+ years","No","Two","None","Own","House","White","English"
"[40.000-50.000)","F","Married","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Four","Two","Rent","House","White","English"
"[20.000-25.000)","F","Divorced","35-44","Graduated High Scool","Clerical/Service Worker","1-3 years","Not Married","One","None","Rent","Apartment","Black","English"
"[75.000-","F","Married","35-44","1 to 3 years of college","Professional/Managerial","7-10 years","Yes","Three","One","Rent","House","White","English"
"[30.000-40.000)","F","Married","55-64","College graduate","Professional/Managerial","10+ years","No","Two","None","Own","House","White","English"
"-10.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Five","One","Family","House","White","Other"
"-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Five","One","Family","House","White","English"
"[30.000-40.000)","F","Single","35-44","Graduated High Scool","Professional/Managerial","4-6 years","Not Married","One","None","Rent","Apartment","White","English"
"[75.000-","M","Married","45-54","Grad Study","Professional/Managerial","10+ years","Yes","Three","One","Own","House","White","English"
"[75.000-","F","Married","55-64","1 to 3 years of college","Sales Worker","10+ years","Yes","Three","None","Own","House","White","English"
"[40.000-50.000)","M","Single","25-34","College graduate","Professional/Managerial","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"[30.000-40.000)","F","Married","55-64","Graduated High Scool","Clerical/Service Worker","10+ years","No","Two","None","Own","House","White","English"
"[20.000-25.000)","F","Single","18-24","Graduated High Scool","Professional/Managerial","10+ years","Not Married","Three","None","Family","House","Asian","English"
"[50.000-75.000)","M","Married","25-34","1 to 3 years of college","Factory Worker/Laborer/Driver","10+ years","Yes","Two","None","Family","House","Hispanic","English"
"[75.000-","M","Married","45-54","College graduate","Professional/Managerial","10+ years","Yes","Three","None","Own","House","White","English"
"-10.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","1-3 years","Not Married",NA,"None",NA,NA,"Black","English"
"[50.000-75.000)","F","Together","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Two","None","Own","House","White","English"
"[50.000-75.000)","F","Married","65+","1 to 3 years of college","Professional/Managerial","10+ years","No","Two","None","Own","House","White","English"
"[75.000-","M","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Eight","Four","Family","House","White","English"
"[75.000-","M","Married","45-54","1 to 3 years of college","Professional/Managerial","10+ years","No","Two","None","Own","House","White","English"
"[75.000-","M","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Five","Two","Family","House","White","English"
"[15.000-20.000)","M","Single","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","One","None","Rent","House","White","English"
"[25.000-30.000)","M","Single","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","One","None","Rent","Apartment","White","Other"
"[25.000-30.000)","M","Together","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Two","None","Rent","Apartment","Hispanic","English"
"-10.000)","F","Married","25-34","Graduated High Scool","Professional/Managerial",NA,"Yes","Two","None","Rent","Other","White","English"
"[75.000-","F","Married","55-64","1 to 3 years of college","Professional/Managerial","10+ years","No","Two","None","Own","House","White","English"
"[30.000-40.000)","F","Single","25-34","College graduate","Professional/Managerial","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"[25.000-30.000)","F","Divorced","55-64","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Two","None","Own","House","White","English"
"[20.000-25.000)","F","Together","18-24","1 to 3 years of college","Sales Worker","1-3 years","Yes","Two","None","Rent","Condominium","White","English"
"[40.000-50.000)","M","Married","25-34","1 to 3 years of college","Factory Worker/Laborer/Driver","10+ years","Yes","Three","One","Rent","House","Hispanic","English"
"[40.000-50.000)","F","Married","55-64","1 to 3 years of college","Clerical/Service Worker","10+ years","No","Three","None","Own","House","White","English"
"[40.000-50.000)","M","Married","65+","Grad Study","Retired","10+ years","No","Three","None","Own","House","White","English"
"[40.000-50.000)","M","Married","65+","Graduated High Scool","Retired","10+ years","No","Two","None","Own","House","White","English"
"[30.000-40.000)","F","Married","55-64","Graduated High Scool","Factory Worker/Laborer/Driver","10+ years","No","Four","None","Own","House","Hispanic","English"
"[25.000-30.000)","M","Married","65+","1 to 3 years of college","Retired","10+ years","No","Two","None","Own","House","White","English"
"[20.000-25.000)","M","Married","65+","College graduate","Retired","10+ years","No","Two","None","Family","House","White","English"
"[30.000-40.000)","M","Married","65+","1 to 3 years of college","Retired","10+ years","No","Two","None","Own",NA,"White","English"
"[20.000-25.000)","M","Single","55-64","College graduate","Retired","10+ years","Not Married","Five","None",NA,"Other","White","English"
"[50.000-75.000)","F","Divorced","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Two","None","Own","House","White","English"
"[75.000-","M","Married","35-44","Grad Study","Professional/Managerial",NA,"No","Five","Three","Own","House","White","English"
"[20.000-25.000)","F",NA,"55-64",NA,"Retired","10+ years","No",NA,"None","Family",NA,"White","English"
"[10.000-15.000)","M","Widowed","65+","1 to 3 years of college","Retired","10+ years","Not Married","One","None","Own","House","White","English"
"[75.000-","M","Married","65+","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Two","None","Rent","Apartment","White","English"
"[50.000-75.000)","F","Married","55-64","College graduate","Retired","10+ years","No","Two","None","Own","House","White","English"
"[75.000-","F","Married","55-64","Grad Study","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"[50.000-75.000)","M","Married","65+","Grad Study","Retired","10+ years","No","Two","None","Own","House","White","English"
"[50.000-75.000)","F","Married","55-64","College graduate","Homemaker","10+ years","No","Two","None","Own","Other","White","English"
"[75.000-","F","Married","55-64","Grad Study","Professional/Managerial","10+ years","No","Two","None","Own","House","White","English"
"-10.000)","M","Single","14-17","Grades 9 to 11","Retired","1-3 years","Not Married","One","One",NA,NA,"White","English"
"-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","4-6 years","Not Married","Five","Three","Family","House","Asian","Other"
"-10.000)","F","Single","14-17","Grades 9 to 11","Unemployed","10+ years","Not Married","Two","One","Family","Condominium","White","English"
"-10.000)","M","Single","14-17","Grade 8 or less","Student, HS or College","4-6 years","Not Married","Five","Three","Family","House","Asian","Other"
"[15.000-20.000)","M","Single","18-24","1 to 3 years of college","Student, HS or College","-1 year","Not Married","Three","None","Family","House","White","English"
"[20.000-25.000)","F","Married","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Two","None","Own","House","American Indian","English"
"-10.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Three","Two","Family","House","White","English"
"[20.000-25.000)","M","Single","45-54","Grad Study","Professional/Managerial","10+ years","Not Married","One","None","Rent","House","White","English"
"[40.000-50.000)","F","Married","25-34","College graduate","Sales Worker","-1 year","No","Two","None","Rent","Apartment","White","English"
"[30.000-40.000)","M","Single","25-34","Grad Study","Sales Worker","7-10 years","Not Married","One","None","Own","House","Asian","Other"
"[15.000-20.000)","M","Single","18-24","Graduated High Scool","Student, HS or College","10+ years","Not Married","Three","None","Family","House","White","English"
"[30.000-40.000)","F","Single","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Four","Two","Own","House","White","English"
"[10.000-15.000)","M","Single","18-24","Graduated High Scool","Sales Worker","10+ years","Not Married","Four","None","Rent","House","White","English"
"[25.000-30.000)","M","Single","25-34","College graduate","Professional/Managerial","10+ years","Not Married","One","None","Own",NA,"White","English"
"-10.000)","M","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Three","None","Rent","House","White","English"
"-10.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","1-3 years","Not Married","Two","Two","Rent","Other","White","English"
"-10.000)","F","Single","18-24","1 to 3 years of college","Sales Worker","-1 year","Not Married","Four","One","Family","House","White","English"
"[30.000-40.000)","F","Together","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Two","None","Rent","Apartment","Other","English"
"[10.000-15.000)","F","Single","18-24","1 to 3 years of college","Sales Worker","7-10 years","Not Married","Two","None","Rent","House","White","English"
"[40.000-50.000)","M","Divorced","45-54","College graduate","Military","10+ years","Not Married","One","None","Own","House","Asian","English"
"-10.000)","M","Single","25-34","Grad Study","Student, HS or College","1-3 years","Not Married","Four","None","Family","House","Asian","English"
"[20.000-25.000)","F","Married","18-24","Graduated High Scool","Professional/Managerial","1-3 years","No","Six","Two","Rent","House","Asian","Other"
"-10.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Two","None","Rent","Apartment","Black","English"
"[15.000-20.000)","M","Single","25-34","College graduate","Professional/Managerial","10+ years","Not Married","One","None","Rent","Apartment","Black","English"
"[30.000-40.000)","F","Widowed","45-54","Grad Study","Professional/Managerial","10+ years","Not Married","One","None","Own","Condominium","Black","English"
"[15.000-20.000)","M","Single","35-44","1 to 3 years of college","Unemployed","10+ years","Not Married","Five","None","Family","House","White","Other"
"-10.000)","M","Single","18-24","Grades 9 to 11","Sales Worker","10+ years","Not Married","Three","None","Rent","House","White","English"
"[75.000-","M","Married","25-34","Grad Study","Professional/Managerial","7-10 years","Yes","Two","None","Own","House","White","English"
"[50.000-75.000)","F","Married","25-34","College graduate","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"[50.000-75.000)","M","Married","25-34","College graduate","Sales Worker","10+ years","Yes","Two","None","Own","House","White","English"
"[50.000-75.000)","M","Single","18-24","Grades 9 to 11","Sales Worker","10+ years","Not Married","Four","None","Family","House","White","English"
"[75.000-","F","Married","25-34","College graduate","Professional/Managerial","1-3 years","No","Two","None","Own","House","White","English"
"[50.000-75.000)","F","Single","18-24","Graduated High Scool","Student, HS or College","-1 year","Not Married","Four","None","Family","House","White","English"
"-10.000)","F","Divorced","35-44","College graduate","Unemployed","1-3 years","Not Married","Three","One","Rent","Condominium","White","English"
"[20.000-25.000)","M","Single","45-54","Graduated High Scool","Factory Worker/Laborer/Driver",NA,"Not Married","One","None","Rent","Mobile Home","White","English"
"[25.000-30.000)","F","Married","25-34","College graduate","Professional/Managerial","-1 year","Yes","Two","None","Rent","Apartment","White","English"
"[50.000-75.000)","F","Together","45-54","Grad Study","Professional/Managerial","10+ years","Not Married","One","None","Own","House","White","English"
"[50.000-75.000)","F","Married","35-44","College graduate","Professional/Managerial",NA,"Yes","Three","One","Own","House","White","English"
"[50.000-75.000)","M","Single","18-24","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Four","One","Family","House","White","English"
"[50.000-75.000)","F","Married","25-34","1 to 3 years of college","Homemaker","10+ years","No","Three","One","Own","House","White","English"
"[50.000-75.000)","F","Single","18-24","1 to 3 years of college","Sales Worker","10+ years","Not Married","Three","None","Family","House","White","English"
"[75.000-","F","Single","18-24","1 to 3 years of college","Student, HS or College",NA,"Not Married","Three","One","Family","House","White","English"
"[50.000-75.000)","M","Single","18-24","1 to 3 years of college","Student, HS or College","4-6 years","Not Married",NA,"None","Family","House","White","English"
"[50.000-75.000)","M","Single","25-34","College graduate","Professional/Managerial","4-6 years","Not Married","Two","None","Rent","House","White","English"
"[75.000-","M","Married","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"[75.000-","F","Married","35-44","Grad Study","Professional/Managerial","4-6 years","Yes","Three","One","Own","Condominium","White","English"
"[50.000-75.000)","F","Together","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Two","None","Rent","Apartment","White","English"
"[75.000-","F","Divorced","35-44","Grad Study","Professional/Managerial","10+ years","Not Married","One","None","Own","House","White","English"
"[75.000-","F","Married","45-54","Grad Study","Professional/Managerial","10+ years","Yes","Two","None","Own","Other","White","English"
"[75.000-","F","Married","35-44","1 to 3 years of college","Homemaker","1-3 years","No","Four","Two","Rent","House","White","English"
"[75.000-","M","Single","18-24","College graduate","Unemployed","10+ years","Not Married","Three","None","Family",NA,"Asian","English"
"[50.000-75.000)","F","Married","45-54","Grad Study","Professional/Managerial","10+ years","Yes","Three","None","Own","House","White","English"
"[75.000-","M","Married","35-44","Grad Study","Professional/Managerial","10+ years","No","Two","None","Own","Condominium","Black","English"
"[50.000-75.000)","F","Married","35-44","Graduated High Scool","Professional/Managerial","7-10 years","Yes","Four","Two","Own","House","Other","English"
"[50.000-75.000)","M","Married","35-44","1 to 3 years of college","Sales Worker","10+ years","Yes","Four","Two","Own","House","White","English"
"[40.000-50.000)","M","Single","55-64","College graduate","Professional/Managerial","10+ years","Not Married","Two","None","Own","House","Asian","English"
"[25.000-30.000)","F","Divorced","25-34","Graduated High Scool","Clerical/Service Worker","10+ years","Not Married","Four","Two","Rent","Apartment","White","English"
"-10.000)","F","Single","25-34","Graduated High Scool","Unemployed","10+ years","Not Married","Two","None","Rent","House","White","English"
